Periodos	pib	m 	tc
1993/01	10008894.66	1458413.4	78.9772
1993/02	10171035.4	1574506.2	78.89603333
1993/03	10066258.41	1558216.0	77.69616667
1993/04	10416096.24	1717843.2	77.19543333
1994/01	10343388.47	1729058.3	75.60153333
1994/02	10772526.22	1846701.6	79.7999
1994/03	10602752.89	1864244.0	81.58616667
1994/04	10952773.42	1988476.8	86.035
1995/01	10189745.49	1452139.2	132.0381333
1995/02	9795719.008	1538804.2	118.4321667
1995/03	9802904.373	1589597.7	111.0564333
1995/04	10198513.28	1663673.6	122.9514
1996/01	10426430.9	1699991.6	116.2656333
1996/02	10569227.49	1759751.6	108.7849667
1996/03	10583112.09	1812192.5	105.6711
1996/04	11116526.64	2063640.2	104.8477667
1997/01	10862931.98	1888266.5	98.1861
1997/02	11460068.09	2194861.2	95.7615
1997/03	11408200.86	2382794.3	91.64196667
1997/04	11887380.12	2565135.5	91.1556
1998/01	11827638.05	2448553.2	89.15763333
1998/02	12034464.22	2598260.7	89.47816667
1998/03	11972371.59	2578143.4	94.7619
1998/04	12139816.57	2743083.0	97.28963333
1999/01	12100154.54	2564469.3	90.74173333
1999/02	12315219.07	2836191.7	83.91336667
1999/03	12325229.13	2961771.3	81.7825
1999/04	12554685.81	3199322.2	81.25493333
2000/01	12725022.04	3166877.9	78.87816667
2000/02	12994568.9	3379167.5	78.92456667
2000/03	13008792.26	3583129.3	76.28366667
2000/04	13003302.17	3779215.0	75.45506667
2001/01	12796119.51	3364832.9	76.4145
2001/02	12967530.19	3493778.1	71.54326667
2001/03	12857408.64	3374538.2	71.32256667
2001/04	12901429.2	3558268.1	70.3066
2002/01	12415541.46	3237291.0	68.2076
2002/02	13112362.78	3661785.6	70.89426667
2002/03	12889950.08	3553361.9	73.83746667
2002/04	13084104.35	3505551.8	74.81096667
2003/01	12803326.7	3579010.8	80.1067
2003/02	13182931.65	3568006.7	78.18956667
2003/03	12954912.31	3504613.6	79.94986667
2003/04	13305703.42	3656793.6	83.38496667
2004/01	13252637.28	3456328.4	81.72843333
2004/02	13732337.64	3788270.6	84.84223333
2004/03	13438257.15	3843313.2	85.15163333
2004/04	13872028.16	4148158.9	84.10783333
2005/01	13354792.36	3622589.4	83.3471
2005/02	14104834.68	3986744.7	81.95896667
2005/03	13782142.6	4019811.9	80.2146
2005/04	14306520.45	4426494.9	79.42913333
2006/01	14107961.11	4072172.8	78.21853333
2006/02	14700503.81	4392716.1	84.16323333
2006/03	14435867.22	4458018.2	82.39623333
2006/04	14800896.85	4527262.6	80.33096667
2007/01	14393731.49	4162541.6	81.1287
2007/02	14993341.6	4559748.6	82.16773333
2007/03	14783297.43	4723201.7	82.88366667
2007/04	15204933.38	4846896.7	82.4273
2008/01	14563429.18	4419288.1	82.6887
2008/02	15386331.84	4831376.6	81.1765
2008/03	14979493.16	5049926.8	79.249
2008/04	15125056.55	4592057.6	92.62006667
2009/01	13752157.58	3645326.9	100.3042667
2009/02	14012946.53	3586707.2	94.43236667
2009/03	14231940.41	4196740.0	94.83226667
2009/04	14882949	4450689.1	93.67563333
2010/01	14371711.89	4242479.8	89.63953333
2010/02	14998392.98	4641028.4	87.8091
2010/03	14921449.86	4796421.9	89.984
2010/04	15499624.06	4907824.9	86.99596667
2011/01	14902787.36	4600314.1	84.76023333
2011/02	15413083.52	4878042.2	84.5421
2011/03	15526005.67	5076506.2	88.35853333
2011/04	16139457.86	5077158.1	95.45456667
2012/01	15619683.01	4897878.9	90.35606667
2012/02	16027310.99	5156030.5	94.34903333
2012/03	15952745.02	5212513.1	91.04636667
2012/04	16639155.58	5428979.3	88.68123333
2013/01	15720296.18	4908019.3	85.9286
2013/02	16362730.74	5404787.7	84.1116
2013/03	16186048.35	5408224.7	87.1957
2013/04	16839673.05	5412762.5	86.848
2014/01	16135493.72	5115737.7	86.85023333
2014/02	16736871.33	5587432.0	86.55913333
2014/03	16645054.66	5745994.6	86.53626667
2014/04	17417199.36	5935449.6	88.0705
2015/01	16697500.52	5479809.7	92.5443
2015/02	17239817.32	5928746.3	95.8998
2015/03	17309642.63	6171668.4	101.7774333
2015/04	17888463.26	6129398.7	101.8422667
2016/01	17196650.78	5655076.4	108.8039667
2016/02	17807935.05	6096201.8	111.4816333
2016/03	17666733.4	6307868.3	115.5979333
2016/04	18476323.12	6325931.3	119.3858667
2017/01	17794478.55	6104256.4	118.5892
2017/02	18154260.45	6411256.3	108.2479333
2017/03	17944580.55	6645123.7	104.3574
2017/04	18760639.85	6775351.6	109.6225333
2018/01	18011618.39	6450026.0	105.8836
2018/02	18623258.9	6871711.7	108.7239333
2018/03	18391132.51	7065024.1	104.5623333
2018/04	19077512.61	7157401.4	107.8167333
2019/01	18232678.07	6575525.3	104.5563667
2019/02	18471438.33	6775450.9	104.6206333
